market,date_cet,area,deliveryStartUTC,deliveryEndUTC,deliveryStartCET,deliveryEndCET,price,currency
SIDC_IntradayAuction3,2026-03-01,FR,2026-03-01T11:00:00Z,2026-03-01T11:15:00Z,2026-03-01T12:00:00+01:00,2026-03-01T12:15:00+01:00,-0.5,EUR
SIDC_IntradayAuction3,2026-03-01,FR,2026-03-01T11:15:00Z,2026-03-01T11:30:00Z,2026-03-01T12:15:00+01:00,2026-03-01T12:30:00+01:00,-0.81,EUR
SIDC_IntradayAuction3,2026-03-01,FR,2026-03-01T11:30:00Z,2026-03-01T11:45:00Z,2026-03-01T12:30:00+01:00,2026-03-01T12:45:00+01:00,-0.81,EUR
SIDC_IntradayAuction3,2026-03-01,FR,2026-03-01T11:45:00Z,2026-03-01T12:00:00Z,2026-03-01T12:45:00+01:00,2026-03-01T13:00:00+01:00,-0.81,EUR
SIDC_IntradayAuction3,2026-03-01,FR,2026-03-01T12:00:00Z,2026-03-01T12:15:00Z,2026-03-01T13:00:00+01:00,2026-03-01T13:15:00+01:00,-0.81,EUR
SIDC_IntradayAuction3,2026-03-01,FR,2026-03-01T12:15:00Z,2026-03-01T12:30:00Z,2026-03-01T13:15:00+01:00,2026-03-01T13:30:00+01:00,-0.81,EUR
SIDC_IntradayAuction3,2026-03-01,FR,2026-03-01T12:30:00Z,2026-03-01T12:45:00Z,2026-03-01T13:30:00+01:00,2026-03-01T13:45:00+01:00,-0.81,EUR
SIDC_IntradayAuction3,2026-03-01,FR,2026-03-01T12:45:00Z,2026-03-01T13:00:00Z,2026-03-01T13:45:00+01:00,2026-03-01T14:00:00+01:00,-0.81,EUR
SIDC_IntradayAuction3,2026-03-01,FR,2026-03-01T13:00:00Z,2026-03-01T13:15:00Z,2026-03-01T14:00:00+01:00,2026-03-01T14:15:00+01:00,-0.81,EUR
SIDC_IntradayAuction3,2026-03-01,FR,2026-03-01T13:15:00Z,2026-03-01T13:30:00Z,2026-03-01T14:15:00+01:00,2026-03-01T14:30:00+01:00,-0.81,EUR
SIDC_IntradayAuction3,2026-03-01,FR,2026-03-01T13:30:00Z,2026-03-01T13:45:00Z,2026-03-01T14:30:00+01:00,2026-03-01T14:45:00+01:00,-0.8,EUR
SIDC_IntradayAuction3,2026-03-01,FR,2026-03-01T13:45:00Z,2026-03-01T14:00:00Z,2026-03-01T14:45:00+01:00,2026-03-01T15:00:00+01:00,-0.75,EUR
SIDC_IntradayAuction3,2026-03-01,FR,2026-03-01T14:00:00Z,2026-03-01T14:15:00Z,2026-03-01T15:00:00+01:00,2026-03-01T15:15:00+01:00,-2.01,EUR
SIDC_IntradayAuction3,2026-03-01,FR,2026-03-01T14:15:00Z,2026-03-01T14:30:00Z,2026-03-01T15:15:00+01:00,2026-03-01T15:30:00+01:00,-2.1,EUR
SIDC_IntradayAuction3,2026-03-01,FR,2026-03-01T14:30:00Z,2026-03-01T14:45:00Z,2026-03-01T15:30:00+01:00,2026-03-01T15:45:00+01:00,-0.81,EUR
SIDC_IntradayAuction3,2026-03-01,FR,2026-03-01T14:45:00Z,2026-03-01T15:00:00Z,2026-03-01T15:45:00+01:00,2026-03-01T16:00:00+01:00,-2.01,EUR
SIDC_IntradayAuction3,2026-03-01,FR,2026-03-01T15:00:00Z,2026-03-01T15:15:00Z,2026-03-01T16:00:00+01:00,2026-03-01T16:15:00+01:00,0.95,EUR
SIDC_IntradayAuction3,2026-03-01,FR,2026-03-01T15:15:00Z,2026-03-01T15:30:00Z,2026-03-01T16:15:00+01:00,2026-03-01T16:30:00+01:00,19.62,EUR
SIDC_IntradayAuction3,2026-03-01,FR,2026-03-01T15:30:00Z,2026-03-01T15:45:00Z,2026-03-01T16:30:00+01:00,2026-03-01T16:45:00+01:00,13.49,EUR
SIDC_IntradayAuction3,2026-03-01,FR,2026-03-01T15:45:00Z,2026-03-01T16:00:00Z,2026-03-01T16:45:00+01:00,2026-03-01T17:00:00+01:00,5.94,EUR
SIDC_IntradayAuction3,2026-03-01,FR,2026-03-01T16:00:00Z,2026-03-01T16:15:00Z,2026-03-01T17:00:00+01:00,2026-03-01T17:15:00+01:00,22.01,EUR
SIDC_IntradayAuction3,2026-03-01,FR,2026-03-01T16:15:00Z,2026-03-01T16:30:00Z,2026-03-01T17:15:00+01:00,2026-03-01T17:30:00+01:00,33.43,EUR
SIDC_IntradayAuction3,2026-03-01,FR,2026-03-01T16:30:00Z,2026-03-01T16:45:00Z,2026-03-01T17:30:00+01:00,2026-03-01T17:45:00+01:00,14.05,EUR
SIDC_IntradayAuction3,2026-03-01,FR,2026-03-01T16:45:00Z,2026-03-01T17:00:00Z,2026-03-01T17:45:00+01:00,2026-03-01T18:00:00+01:00,54.51,EUR
SIDC_IntradayAuction3,2026-03-01,FR,2026-03-01T17:00:00Z,2026-03-01T17:15:00Z,2026-03-01T18:00:00+01:00,2026-03-01T18:15:00+01:00,28.51,EUR
SIDC_IntradayAuction3,2026-03-01,FR,2026-03-01T17:15:00Z,2026-03-01T17:30:00Z,2026-03-01T18:15:00+01:00,2026-03-01T18:30:00+01:00,31.15,EUR
SIDC_IntradayAuction3,2026-03-01,FR,2026-03-01T17:30:00Z,2026-03-01T17:45:00Z,2026-03-01T18:30:00+01:00,2026-03-01T18:45:00+01:00,34.04,EUR
SIDC_IntradayAuction3,2026-03-01,FR,2026-03-01T17:45:00Z,2026-03-01T18:00:00Z,2026-03-01T18:45:00+01:00,2026-03-01T19:00:00+01:00,43.57,EUR
SIDC_IntradayAuction3,2026-03-01,FR,2026-03-01T18:00:00Z,2026-03-01T18:15:00Z,2026-03-01T19:00:00+01:00,2026-03-01T19:15:00+01:00,61.81,EUR
SIDC_IntradayAuction3,2026-03-01,FR,2026-03-01T18:15:00Z,2026-03-01T18:30:00Z,2026-03-01T19:15:00+01:00,2026-03-01T19:30:00+01:00,57.1,EUR
SIDC_IntradayAuction3,2026-03-01,FR,2026-03-01T18:30:00Z,2026-03-01T18:45:00Z,2026-03-01T19:30:00+01:00,2026-03-01T19:45:00+01:00,47.76,EUR
SIDC_IntradayAuction3,2026-03-01,FR,2026-03-01T18:45:00Z,2026-03-01T19:00:00Z,2026-03-01T19:45:00+01:00,2026-03-01T20:00:00+01:00,39.46,EUR
SIDC_IntradayAuction3,2026-03-01,FR,2026-03-01T19:00:00Z,2026-03-01T19:15:00Z,2026-03-01T20:00:00+01:00,2026-03-01T20:15:00+01:00,35.46,EUR
SIDC_IntradayAuction3,2026-03-01,FR,2026-03-01T19:15:00Z,2026-03-01T19:30:00Z,2026-03-01T20:15:00+01:00,2026-03-01T20:30:00+01:00,35.02,EUR
SIDC_IntradayAuction3,2026-03-01,FR,2026-03-01T19:30:00Z,2026-03-01T19:45:00Z,2026-03-01T20:30:00+01:00,2026-03-01T20:45:00+01:00,34.55,EUR
SIDC_IntradayAuction3,2026-03-01,FR,2026-03-01T19:45:00Z,2026-03-01T20:00:00Z,2026-03-01T20:45:00+01:00,2026-03-01T21:00:00+01:00,4.34,EUR
SIDC_IntradayAuction3,2026-03-01,FR,2026-03-01T20:00:00Z,2026-03-01T20:15:00Z,2026-03-01T21:00:00+01:00,2026-03-01T21:15:00+01:00,35.46,EUR
SIDC_IntradayAuction3,2026-03-01,FR,2026-03-01T20:15:00Z,2026-03-01T20:30:00Z,2026-03-01T21:15:00+01:00,2026-03-01T21:30:00+01:00,41.42,EUR
SIDC_IntradayAuction3,2026-03-01,FR,2026-03-01T20:30:00Z,2026-03-01T20:45:00Z,2026-03-01T21:30:00+01:00,2026-03-01T21:45:00+01:00,29.98,EUR
SIDC_IntradayAuction3,2026-03-01,FR,2026-03-01T20:45:00Z,2026-03-01T21:00:00Z,2026-03-01T21:45:00+01:00,2026-03-01T22:00:00+01:00,24.57,EUR
SIDC_IntradayAuction3,2026-03-01,FR,2026-03-01T21:00:00Z,2026-03-01T21:15:00Z,2026-03-01T22:00:00+01:00,2026-03-01T22:15:00+01:00,24.98,EUR
SIDC_IntradayAuction3,2026-03-01,FR,2026-03-01T21:15:00Z,2026-03-01T21:30:00Z,2026-03-01T22:15:00+01:00,2026-03-01T22:30:00+01:00,19.03,EUR
SIDC_IntradayAuction3,2026-03-01,FR,2026-03-01T21:30:00Z,2026-03-01T21:45:00Z,2026-03-01T22:30:00+01:00,2026-03-01T22:45:00+01:00,40.83,EUR
SIDC_IntradayAuction3,2026-03-01,FR,2026-03-01T21:45:00Z,2026-03-01T22:00:00Z,2026-03-01T22:45:00+01:00,2026-03-01T23:00:00+01:00,36.29,EUR
SIDC_IntradayAuction3,2026-03-01,FR,2026-03-01T22:00:00Z,2026-03-01T22:15:00Z,2026-03-01T23:00:00+01:00,2026-03-01T23:15:00+01:00,38.82,EUR
SIDC_IntradayAuction3,2026-03-01,FR,2026-03-01T22:15:00Z,2026-03-01T22:30:00Z,2026-03-01T23:15:00+01:00,2026-03-01T23:30:00+01:00,14.55,EUR
SIDC_IntradayAuction3,2026-03-01,FR,2026-03-01T22:30:00Z,2026-03-01T22:45:00Z,2026-03-01T23:30:00+01:00,2026-03-01T23:45:00+01:00,31.05,EUR
SIDC_IntradayAuction3,2026-03-01,FR,2026-03-01T22:45:00Z,2026-03-01T23:00:00Z,2026-03-01T23:45:00+01:00,2026-03-02T00:00:00+01:00,29.13,EUR
SIDC_IntradayAuction3,2026-03-01,GER,2026-03-01T11:00:00Z,2026-03-01T11:15:00Z,2026-03-01T12:00:00+01:00,2026-03-01T12:15:00+01:00,-0.5,EUR
SIDC_IntradayAuction3,2026-03-01,GER,2026-03-01T11:15:00Z,2026-03-01T11:30:00Z,2026-03-01T12:15:00+01:00,2026-03-01T12:30:00+01:00,-0.81,EUR
SIDC_IntradayAuction3,2026-03-01,GER,2026-03-01T11:30:00Z,2026-03-01T11:45:00Z,2026-03-01T12:30:00+01:00,2026-03-01T12:45:00+01:00,-0.81,EUR
SIDC_IntradayAuction3,2026-03-01,GER,2026-03-01T11:45:00Z,2026-03-01T12:00:00Z,2026-03-01T12:45:00+01:00,2026-03-01T13:00:00+01:00,-0.81,EUR
SIDC_IntradayAuction3,2026-03-01,GER,2026-03-01T12:00:00Z,2026-03-01T12:15:00Z,2026-03-01T13:00:00+01:00,2026-03-01T13:15:00+01:00,-0.81,EUR
