area_name,market,mean,min,max,std,spread_max_min
FR,DayAhead,57.10171130952381,-1.03,291.1,44.12487273227352,292.13
FR,IDA1,59.274077380952384,-7.77,306.1,43.852071461080214,313.87
FR,IDA2,63.2948363095238,-7.26,254.0,45.74507816288169,261.26
FR,IDA3,63.4941369047619,-26.84,221.14,46.08132697708759,247.98
FR,IntradayVWAP,70.10441964285714,-11.25,230.83,47.85328717603841,242.08
GER,DayAhead,106.36299107142857,-1.03,429.36,58.62642022643239,430.39
GER,IDA1,105.05459821428572,-6.01,415.21,57.02844540431782,421.21999999999997
GER,IDA2,100.12895833333334,-2.1,346.81,52.28250725847259,348.91
GER,IDA3,103.83300595238094,-2.01,321.57,61.423410522300124,323.58
GER,IntradayVWAP,98.83120535714286,-7.27,257.15,50.05661607323173,264.41999999999996
